JJJJ MM DD HH MM T2m T30m TF2m TF30m V DIR N GLOB DIFF SON P
2018 12 1 0 0 4.92 4.75 4.92 4.75 3.25 267.0 0.004 0.00 0.00 0.00 956.8
2018 12 1 0 1 4.94 4.75 4.94 4.75 3.05 266.0 0.009 0.00 0.00 0.00 956.8
2018 12 1 0 2 4.93 4.75 4.93 4.75 4.04 263.0 0.005 0.00 0.00 0.00 956.8
2018 12 1 0 3 4.92 4.74 4.92 4.74 4.14 266.0 0.003 0.00 0.00 0.00 956.8
2018 12 1 0 4 4.91 4.74 4.91 4.74 2.42 260.0 0.006 0.00 0.00 0.00 956.8
2018 12 1 0 5 4.91 4.78 4.91 4.78 1.45 272.0 0.009 0.00 0.00 0.00 956.8
2018 12 1 0 6 4.90 4.78 4.90 4.78 1.59 266.0 0.008 0.00 0.00 0.00 956.8
2018 12 1 0 7 4.89 4.79 4.89 4.79 2.44 267.0 0.010 0.00 0.00 0.00 956.8
2018 12 1 0 8 4.88 4.77 4.88 4.77 3.36 270.0 0.005 0.00 0.00 0.00 956.8
2018 12 1 0 9 4.89 4.75 4.89 4.75 4.13 273.0 0.004 0.00 0.00 0.00 956.8
2018 12 1 0 10 4.91 4.74 4.91 4.74 3.47 271.0 0.004 0.00 0.00 0.00 956.8
2018 12 1 0 11 4.92 4.75 4.92 4.75 3.44 272.0 0.005 0.00 0.00 0.00 956.8
2018 12 1 0 12 4.92 4.74 4.92 4.74 3.93 264.0 0.002 0.00 0.00 0.00 956.8
2018 12 1 0 13 4.92 4.75 4.92 4.75 2.88 256.0 0.003 0.00 0.00 0.00 956.8
2018 12 1 0 14 4.94 4.76 4.94 4.76 2.58 270.0 0.005 0.00 0.00 0.00 956.8
2018 12 1 0 15 4.94 4.76 4.94 4.76 2.55 272.0 0.005 0.00 0.00 0.00 956.8
2018 12 1 0 16 4.93 4.76 4.93 4.76 3.06 280.0 0.005 0.00 0.00 0.00 956.8
2018 12 1 0 17 4.94 4.76 4.94 4.76 3.59 265.0 0.004 0.00 0.00 0.00 956.8
2018 12 1 0 18 4.94 4.76 4.94 4.76 2.88 268.0 0.004 0.00 0.00 0.00 956.8
2018 12 1 0 19 4.94 4.76 4.94 4.76 3.45 265.0 0.003 0.00 0.00 0.00 956.8
2018 12 1 0 20 4.95 4.77 4.95 4.77 2.84 255.0 0.004 0.00 0.00 0.00 956.8
2018 12 1 0 21 4.96 4.77 4.96 4.77 2.44 262.0 0.003 0.00 0.00 0.00 956.8
2018 12 1 0 22 4.94 4.78 4.94 4.78 2.62 263.0 0.004 0.00 0.00 0.00 956.8
2018 12 1 0 23 4.94 4.78 4.94 4.78 2.09 255.0 0.005 0.00 0.00 0.00 956.8
2018 12 1 0 24 4.93 4.78 4.93 4.78 3.09 270.0 0.005 0.00 0.00 0.00 956.8
2018 12 1 0 25 4.93 4.78 4.93 4.78 3.11 265.0 0.004 0.00 0.00 0.00 956.8
2018 12 1 0 26 4.94 4.78 4.94 4.78 3.00 265.0 0.003 0.00 0.00 0.00 956.8
2018 12 1 0 27 4.95 4.78 4.95 4.78 3.26 266.0 0.004 0.00 0.00 0.00 956.7
2018 12 1 0 28 4.95 4.79 4.95 4.79 3.18 255.0 0.004 0.00 0.00 0.00 956.7
2018 12 1 0 29 4.95 4.80 4.95 4.80 2.58 261.0 0.004 0.00 0.00 0.00 956.7
2018 12 1 0 30 4.95 4.81 4.95 4.81 3.16 269.0 0.003 0.00 0.00 0.00 956.7
2018 12 1 0 31 4.96 4.82 4.96 4.82 3.01 263.0 0.003 0.00 0.00 0.00 956.7
2018 12 1 0 32 4.97 4.84 4.97 4.84 2.12 235.0 0.003 0.00 0.00 0.00 956.7
2018 12 1 0 33 4.97 4.85 4.97 4.85 2.54 249.0 0.004 0.00 0.00 0.00 956.7
2018 12 1 0 34 4.97 4.84 4.97 4.84 3.77 271.0 0.003 0.00 0.00 0.00 956.8
2018 12 1 0 35 4.98 4.84 4.98 4.84 3.05 263.0 0.003 0.00 0.00 0.00 956.7
2018 12 1 0 36 5.01 4.85 5.01 4.85 1.52 262.0 0.004 0.00 0.00 0.00 956.7
2018 12 1 0 37 5.00 4.86 5.00 4.86 1.79 260.0 0.003 0.00 0.00 0.00 956.7
2018 12 1 0 38 4.99 4.86 4.99 4.86 1.87 268.0 0.002 0.00 0.00 0.00 956.7
2018 12 1 0 39 4.99 4.87 4.99 4.87 3.09 240.0 0.004 0.00 0.00 0.00 956.7
2018 12 1 0 40 5.01 4.87 5.01 4.87 2.58 252.0 0.003 0.00 0.00 0.00 956.7
2018 12 1 0 41 5.00 4.87 5.00 4.87 2.65 260.0 0.004 0.00 0.00 0.00 956.7
2018 12 1 0 42 4.99 4.87 4.99 4.87 2.74 248.0 0.003 0.00 0.00 0.00 956.7
2018 12 1 0 43 4.99 4.89 4.99 4.89 1.92 249.0 0.005 0.00 0.00 0.00 956.7
2018 12 1 0 44 4.99 4.90 4.99 4.90 2.81 250.0 0.003 0.00 0.00 0.00 956.7
2018 12 1 0 45 4.99 4.90 4.99 4.90 2.01 253.0 0.004 0.00 0.00 0.00 956.7
2018 12 1 0 46 5.00 4.93 5.00 4.93 2.26 252.0 0.003 0.00 0.00 0.00 956.7
2018 12 1 0 47 5.00 4.93 5.00 4.93 2.94 242.0 0.003 0.00 0.00 0.00 956.7
2018 12 1 0 48 5.01 4.93 5.01 4.93 2.45 259.0 0.003 0.00 0.00 0.00 956.7
2018 12 1 0 49 5.02 4.92 5.02 4.92 3.07 268.0 0.003 0.00 0.00 0.00 956.7
2018 12 1 0 50 5.03 4.92 5.03 4.92 2.98 272.0 0.002 0.00 0.00 0.00 956.7
2018 12 1 0 51 5.03 4.92 5.03 4.92 3.09 263.0 0.001 0.00 0.00 0.00 956.7
2018 12 1 0 52 5.03 4.93 5.03 4.93 2.21 254.0 0.002 0.00 0.00 0.00 956.7
2018 12 1 0 53 5.03 4.95 5.03 4.95 2.06 270.0 0.002 0.00 0.00 0.00 956.7
2018 12 1 0 54 5.02 4.94 5.02 4.94 4.10 268.0 0.002 0.00 0.00 0.00 956.7
